Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Soybeans - Blooming,181.85858585858585,177.76,176.2,189.13,177.49,177.66,177.43,179.09,181.66,173.43
Soybeans - Dropping,251.7171717171717,245.52,244.40404040404042,259.34,246.23,252.58947368421053,246.45,243.98,248.43434343434345,239.32258064516128
Soybeans - Emerged,140.21428571428572,135.48,135.04,145.38,140.25,144.61702127659575,131.58,133.38,135.25,129.75
Soybeans - Harvested,269.29,263.51,267.2142857142857,274.04,268.0,273.84,267.31,262.81,267.97,255.7051282051282
Soybeans - Planted,130.66666666666666,118.9090909090909,122.79,131.03,127.02,134.9157894736842,119.54,120.04040404040404,123.35714285714286,114.98
Soybeans - Setting,197.61,192.25,190.27,203.34,193.38,194.95,187.72,193.16,196.5,187.92
