Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spring Wheat - Emerged,135.1875,137.0722891566265,147.01075268817203,145.12359550561797,140.32291666666666,140.58333333333334,141.1919191919192,145.0,143.5531914893617,146.89156626506025
Spring Wheat - Harvested,232.2659574468085,226.83505154639175,233.51063829787233,245.8695652173913,234.76842105263157,225.62105263157895,232.73,229.9578947368421,235.63636363636363,233.21875
Spring Wheat - Headed,184.64444444444445,186.15384615384616,183.56179775280899,191.41666666666666,187.57608695652175,185.31578947368422,193.55670103092783,185.01052631578946,187.60416666666666,188.85882352941175
Spring Wheat - Planted,115.31182795698925,124.2258064516129,133.97894736842105,130.3125,130.07142857142858,125.70212765957447,127.52,133.57894736842104,127.54639175257732,125.1086956521739
