Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Soybeans - Blooming,185.22,181.4848484848485,180.05,195.57,186.28571428571428,184.07142857142858,184.22,179.010101010101,179.56,179.17
Soybeans - Dropping,258.8556701030928,256.07142857142856,259.9325842696629,268.1340206185567,262.86170212765956,259.45652173913044,261.53846153846155,254.44791666666666,250.05376344086022,246.6
Soybeans - Emerged,142.01063829787233,141.89690721649484,139.91666666666666,157.73684210526315,148.54347826086956,141.1413043478261,142.64583333333334,135.61855670103094,134.97938144329896,137.5257731958763
Soybeans - Harvested,279.2929292929293,277.3636363636364,288.375,288.2142857142857,289.3888888888889,285.41237113402065,282.5729166666667,277.92857142857144,275.25,258.45454545454544
Soybeans - Planted,131.54166666666666,127.16842105263157,129.0,148.340206185567,139.36559139784947,129.68817204301075,134.0,123.56701030927834,120.78571428571429,123.33333333333333
Soybeans - Setting,200.45454545454547,197.6060606060606,195.35714285714286,211.11,204.0,201.07142857142858,200.18,194.43298969072166,192.72,192.4
