Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Soybeans - Blooming,186.88541666666666,181.82,179.79381443298968,192.49,183.8556701030928,185.07142857142858,180.15151515151516,180.42,180.47,180.15
Soybeans - Dropping,255.46315789473684,249.56701030927834,251.55208333333334,263.55555555555554,256.45360824742266,253.63333333333333,253.84375,247.94949494949495,247.42857142857142,244.42528735632183
Soybeans - Emerged,141.5,136.03125,138.3125,151.28571428571428,142.875,136.86458333333334,135.74747474747474,135.3298969072165,133.6060606060606,134.42268041237114
Soybeans - Harvested,272.7171717171717,272.4,274.54639175257734,279.8888888888889,281.4166666666667,280.0,273.22680412371136,268.24242424242425,268.93939393939394,257.5
Soybeans - Planted,128.14285714285714,119.38144329896907,125.64285714285714,138.68686868686868,129.7319587628866,124.48453608247422,125.07,122.90625,122.44,121.875
Soybeans - Setting,201.74736842105264,198.69,195.09278350515464,209.42857142857142,203.62886597938143,202.20618556701032,195.4949494949495,192.72727272727272,192.86,194.71
