Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spring Wheat - Emerged,122.11111111111111,132.4,131.5,133.92857142857142,121.72164948453609,122.53535353535354,132.14,127.22,124.47,123.66
Spring Wheat - Harvested,229.67,228.0215053763441,230.33333333333334,240.64646464646464,235.01063829787233,219.26041666666666,237.56565656565655,230.9090909090909,230.31,227.71428571428572
Spring Wheat - Headed,172.41,175.16494845360825,171.3,175.2,175.04,170.59,183.85714285714286,173.49,176.9,171.47
Spring Wheat - Planted,108.85,119.38,112.43,119.06,106.44,105.84,109.6,114.06,109.28,110.29
