Crop_Stage,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spring Wheat - Emerged,132.48958333333334,136.45263157894738,143.8556701030928,146.2421052631579,144.21052631578948,136.71875,151.21428571428572,146.28571428571428,141.93684210526317,141.34375
Spring Wheat - Harvested,229.07142857142858,228.18947368421053,229.37113402061857,244.20833333333334,235.98958333333334,224.29473684210527,238.89583333333334,236.0,237.1875,234.60416666666666
Spring Wheat - Headed,177.84375,180.58333333333334,179.94791666666666,187.23711340206185,184.36082474226805,179.4020618556701,192.69072164948454,183.17525773195877,186.72164948453607,184.22105263157894
Spring Wheat - Planted,117.74736842105263,123.63541666666667,131.08247422680412,132.82474226804123,132.2577319587629,121.09278350515464,137.5,135.4020618556701,127.35714285714286,124.2421052631579
